university,total_papers,total_cites,avg_cites_per_paper,total_top_papers,best_rank,avg_rank,cluster_id,university_upper
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,32808.0,1169389.0,38.619166666666665,1172.0,57,451.5833333333333,3,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER
GERMAN CANCER RESEARCH CENTER (DKFZ),20798.0,933227.0,43.053,863.0,71,452.0,3,GERMAN CANCER RESEARCH CENTER (DKFZ)
UNIVERSITY OF NEWCASTLE,23551.0,671157.0,30.59176470588235,555.0,79,452.52941176470586,3,UNIVERSITY OF NEWCASTLE
COMPLUTENSE UNIVERSITY OF MADRID,38357.0,731676.0,19.2895,575.0,211,453.05,3,COMPLUTENSE UNIVERSITY OF MADRID
NORTH CAROLINA STATE UNIVERSITY,37750.0,865471.0,23.5135,612.0,58,455.1,3,NORTH CAROLINA STATE UNIVERSITY
RWTH AACHEN UNIVERSITY,41248.0,977130.0,24.066,721.0,124,455.95,3,RWTH AACHEN UNIVERSITY
UNIVERSITY OF ERLANGEN NUREMBERG,38078.0,958261.0,23.8905,737.0,178,456.1,3,UNIVERSITY OF ERLANGEN NUREMBERG
CHILDRENS HOSPITAL OF PHILADELPHIA,21541.0,609996.0,29.756666666666668,527.0,175,456.44444444444446,3,CHILDRENS HOSPITAL OF PHILADELPHIA
QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),27643.0,761729.0,26.285555555555554,619.0,117,456.77777777777777,3,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT)
EBERHARD KARLS UNIVERSITY OF TUBINGEN,37521.0,1007302.0,26.921666666666667,854.0,70,459.77777777777777,3,EBERHARD KARLS UNIVERSITY OF TUBINGEN
UNIVERSITY OF TECHNOLOGY SYDNEY,30868.0,830970.0,27.976666666666667,806.0,25,460.27777777777777,3,UNIVERSITY OF TECHNOLOGY SYDNEY
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU),37296.0,823136.0,23.02578947368421,608.0,84,460.5263157894737,3,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU)
UTMD ANDERSON CANCER CENTER,38523.0,1712890.0,34.519999999999996,1957.0,29,460.7,3,UTMD ANDERSON CANCER CENTER
UNIVERSITY OF BASEL,35166.0,1084092.0,29.85166666666667,915.0,91,463.27777777777777,3,UNIVERSITY OF BASEL
FLOREY INSTITUTE OF NEUROSCIENCE & MENTAL HEALTH,16708.0,592061.0,38.09222222222222,554.0,81,463.55555555555554,3,FLOREY INSTITUTE OF NEUROSCIENCE & MENTAL HEALTH
CENTERS FOR DISEASE CONTROL & PREVENTION - USA,27144.0,857637.0,28.13272727272727,878.0,16,464.09090909090907,3,CENTERS FOR DISEASE CONTROL & PREVENTION - USA
CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB),38035.0,1194846.0,29.767333333333333,604.0,24,464.8,3,CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB)
UNIVERSIDADE ESTADUAL DE CAMPINAS,38185.0,677087.0,17.550555555555558,330.0,26,468.6111111111111,3,UNIVERSIDADE ESTADUAL DE CAMPINAS
UNIVERSITE DE LILLE,37687.0,880009.0,20.758947368421055,690.0,223,469.3157894736842,3,UNIVERSITE DE LILLE
UNIVERSITY OF EXETER,29974.0,918685.0,29.466315789473686,1010.0,42,471.36842105263156,3,UNIVERSITY OF EXETER
RIKEN,27620.0,782396.0,28.866,626.0,61,471.8,3,RIKEN
HANNOVER MEDICAL SCHOOL,18821.0,527988.0,24.994444444444444,512.0,177,477.8888888888889,3,HANNOVER MEDICAL SCHOOL
LOS ALAMOS NATIONAL LABORATORY,17851.0,538792.0,44.0725,405.0,126,478.1666666666667,3,LOS ALAMOS NATIONAL LABORATORY
UNIVERSITE CATHOLIQUE LOUVAIN,22684.0,695307.0,28.98894736842105,668.0,297,478.8421052631579,3,UNIVERSITE CATHOLIQUE LOUVAIN
"INSTITUTE OF PHYSICS, CAS",12808.0,446117.0,40.37,517.0,91,479.0,3,"INSTITUTE OF PHYSICS, CAS"
UNIVERSITY OF GRANADA,32027.0,597669.0,19.52388888888889,406.0,85,479.3333333333333,3,UNIVERSITY OF GRANADA
TOHOKU UNIVERSITY,50006.0,907942.0,17.948888888888888,497.0,116,481.5,3,TOHOKU UNIVERSITY
UNIVERSITY OF MASSACHUSETTS AMHERST,24162.0,746809.0,30.334736842105265,719.0,34,482.3157894736842,3,UNIVERSITY OF MASSACHUSETTS AMHERST
RIGSHOSPITALET,22078.0,672829.0,28.560000000000002,649.0,156,482.77777777777777,3,RIGSHOSPITALET
UNIVERSITY OF LAUSANNE,30760.0,932315.0,28.629375,908.0,120,483.125,3,UNIVERSITY OF LAUSANNE
DALHOUSIE UNIVERSITY,23685.0,653462.0,26.884375,505.0,189,484.625,3,DALHOUSIE UNIVERSITY
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,19592.0,543371.0,27.184444444444445,406.0,169,484.77777777777777,3,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER
HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,32610.0,1385149.0,43.205625,1360.0,25,485.625,3,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH
WASHINGTON STATE UNIVERSITY,23204.0,614163.0,27.83277777777778,479.0,76,486.05555555555554,3,WASHINGTON STATE UNIVERSITY
PRES EUROPEAN UNIV BRETAGNE,29311.0,693025.0,22.2685,555.0,246,486.5,3,PRES EUROPEAN UNIV BRETAGNE
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA,24537.0,312670.0,12.958333333333334,272.0,60,486.5,3,NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY - CHINA
CZECH ACADEMY OF SCIENCES,46502.0,886738.0,18.412941176470586,547.0,46,486.7647058823529,3,CZECH ACADEMY OF SCIENCES
UNIVERSITY OF GEORGIA,33214.0,682212.0,25.460526315789473,453.0,40,487.4736842105263,3,UNIVERSITY OF GEORGIA
CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,66114.0,1288329.0,19.40125,1154.0,12,488.125,3,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE
STONY BROOK UNIVERSITY,25251.0,702958.0,27.31888888888889,581.0,150,489.27777777777777,3,STONY BROOK UNIVERSITY
CASE WESTERN RESERVE UNIVERSITY,35696.0,1132684.0,29.42875,1054.0,117,489.4375,3,CASE WESTERN RESERVE UNIVERSITY
UNIVERSITY OF KENTUCKY,29154.0,664997.0,23.181578947368422,463.0,217,490.36842105263156,3,UNIVERSITY OF KENTUCKY
HOSPITAL CLINIC DE BARCELONA,22219.0,809477.0,30.176,944.0,128,491.6,3,HOSPITAL CLINIC DE BARCELONA
LAWRENCE BERKELEY NATIONAL LABORATORY,31025.0,1485567.0,51.37823529411765,1525.0,26,491.6470588235294,3,LAWRENCE BERKELEY NATIONAL LABORATORY
UNIVERSITY OF ILLINOIS CHICAGO,37008.0,888594.0,24.0195,624.0,140,492.05,3,UNIVERSITY OF ILLINOIS CHICAGO
UNIVERSITY OF GOTHENBURG,36602.0,1086470.0,28.191176470588236,989.0,73,492.29411764705884,3,UNIVERSITY OF GOTHENBURG
HOHAI UNIVERSITY,28951.0,448467.0,15.368,361.0,89,494.9,3,HOHAI UNIVERSITY
AUTONOMOUS UNIVERSITY OF MADRID,28431.0,767382.0,23.820526315789476,601.0,106,495.7894736842105,3,AUTONOMOUS UNIVERSITY OF MADRID
MACQUARIE UNIVERSITY,26833.0,651128.0,26.656111111111112,561.0,91,496.1111111111111,3,MACQUARIE UNIVERSITY
UNIVERSITY OF SOUTH FLORIDA,28178.0,667131.0,23.16,566.0,175,497.1578947368421,3,UNIVERSITY OF SOUTH FLORIDA
UNITED STATES DEPARTMENT OF DEFENSE,38004.0,792355.0,21.786666666666665,473.0,124,497.5,3,UNITED STATES DEPARTMENT OF DEFENSE
CEA,49515.0,1361431.0,29.258499999999998,1008.0,15,498.3,3,CEA
GOETHE UNIVERSITY FRANKFURT,30374.0,778979.0,24.76125,692.0,222,498.5625,3,GOETHE UNIVERSITY FRANKFURT
HOKKAIDO UNIVERSITY,37425.0,666571.0,18.723333333333333,380.0,158,499.3333333333333,3,HOKKAIDO UNIVERSITY
HEBREW UNIVERSITY OF JERUSALEM,33139.0,767965.0,22.439444444444444,604.0,188,499.5,3,HEBREW UNIVERSITY OF JERUSALEM
QINGDAO UNIVERSITY,35180.0,704463.0,19.403125,886.0,121,501.75,3,QINGDAO UNIVERSITY
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,36031.0,861299.0,24.083,610.0,141,502.55,3,UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL
UNIVERSITY OF BELGRADE,36634.0,652060.0,17.695882352941176,487.0,132,503.7647058823529,3,UNIVERSITY OF BELGRADE
COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO),31094.0,1019110.0,32.15941176470589,878.0,18,504.11764705882354,3,COMMONWEALTH SCIENTIFIC & INDUSTRIAL RESEARCH ORGANISATION (CSIRO)
JIANGSU UNIVERSITY,43765.0,880050.0,17.913125,902.0,20,504.6875,3,JIANGSU UNIVERSITY
IDIBAPS,13275.0,524948.0,34.65125,639.0,167,505.375,3,IDIBAPS
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,33205.0,1133074.0,34.010555555555555,976.0,60,505.8888888888889,3,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE
UNIVERSITY OF MUNSTER,30860.0,836439.0,26.045263157894738,731.0,150,506.05263157894734,3,UNIVERSITY OF MUNSTER
WORLD HEALTH ORGANIZATION,18784.0,975151.0,47.51,833.0,41,507.45454545454544,3,WORLD HEALTH ORGANIZATION
NORTHEASTERN UNIVERSITY,18684.0,601156.0,34.24411764705882,507.0,125,507.5882352941176,3,NORTHEASTERN UNIVERSITY
UNIVERSITY OF TEHRAN,35014.0,693034.0,18.9,445.0,51,507.6923076923077,3,UNIVERSITY OF TEHRAN
BETH ISRAEL DEACONESS MEDICAL CENTER,25491.0,941440.0,49.387499999999996,983.0,94,508.0833333333333,3,BETH ISRAEL DEACONESS MEDICAL CENTER
NANJING FORESTRY UNIVERSITY,24136.0,448391.0,16.878999999999998,501.0,131,508.5,3,NANJING FORESTRY UNIVERSITY
UNIVERSITY OF BASQUE COUNTRY,28070.0,597004.0,21.07588235294118,378.0,152,509.3529411764706,3,UNIVERSITY OF BASQUE COUNTRY
UNIVERSITY HEALTH NETWORK TORONTO,31500.0,1095921.0,37.199090909090906,1215.0,80,509.8181818181818,3,UNIVERSITY HEALTH NETWORK TORONTO
UNIVERSITE DE LORRAINE,28854.0,659015.0,23.423684210526318,486.0,276,510.4736842105263,3,UNIVERSITE DE LORRAINE
SLAC NATIONAL ACCELERATOR LABORATORY,9941.0,557242.0,66.6542857142857,602.0,70,510.7142857142857,3,SLAC NATIONAL ACCELERATOR LABORATORY
WUHAN UNIVERSITY OF TECHNOLOGY,32725.0,818817.0,21.621111111111112,729.0,31,510.77777777777777,3,WUHAN UNIVERSITY OF TECHNOLOGY
UNIVERSITY OF CINCINNATI,34240.0,886800.0,26.532777777777778,769.0,153,512.2777777777778,3,UNIVERSITY OF CINCINNATI
OAK RIDGE NATIONAL LABORATORY,24794.0,793040.0,30.846666666666668,616.0,63,512.4166666666666,3,OAK RIDGE NATIONAL LABORATORY
UNIVERSITY OF IOWA,36525.0,908222.0,24.72,694.0,164,512.7368421052631,3,UNIVERSITY OF IOWA
IRCCS OSPEDALE SAN RAFFAELE,16920.0,500876.0,30.58285714285714,593.0,206,513.1428571428571,3,IRCCS OSPEDALE SAN RAFFAELE
OREGON STATE UNIVERSITY,22968.0,584864.0,27.172,461.0,61,514.1333333333333,3,OREGON STATE UNIVERSITY
UNIVERSITY OF VIENNA,30658.0,736236.0,25.450952380952383,585.0,72,515.4761904761905,3,UNIVERSITY OF VIENNA
CAIRO UNIVERSITY,32769.0,622745.0,17.86,447.0,58,516.0588235294117,3,CAIRO UNIVERSITY
STOCKHOLM UNIVERSITY,30356.0,969960.0,31.324210526315788,811.0,54,518.0,3,STOCKHOLM UNIVERSITY
KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,19930.0,741138.0,41.69642857142857,763.0,79,519.2857142857143,3,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY
KYUNG HEE UNIVERSITY,32068.0,666036.0,20.160588235294117,510.0,134,520.0,3,KYUNG HEE UNIVERSITY
CHARITE UNIVERSITATSMEDIZIN BERLIN,44142.0,1427822.0,28.787692307692307,1499.0,45,520.1538461538462,3,CHARITE UNIVERSITATSMEDIZIN BERLIN
CARNEGIE MELLON UNIVERSITY,20596.0,620927.0,31.955625,558.0,94,520.8125,3,CARNEGIE MELLON UNIVERSITY
TIANJIN UNIVERSITY,75184.0,1669242.0,17.913333333333334,1403.0,15,521.4,3,TIANJIN UNIVERSITY
UNIVERSITE DE RENNES,28056.0,660122.0,22.083000000000002,535.0,269,522.0,3,UNIVERSITE DE RENNES
LOMONOSOV MOSCOW STATE UNIVERSITY,49258.0,705581.0,15.592,365.0,50,522.9333333333333,3,LOMONOSOV MOSCOW STATE UNIVERSITY
NANKAI UNIVERSITY,45403.0,1158392.0,20.387894736842107,1227.0,17,523.6842105263158,3,NANKAI UNIVERSITY
UNIVERSITY OF KIEL,25615.0,686374.0,24.720588235294116,587.0,237,524.4117647058823,3,UNIVERSITY OF KIEL
UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,55446.0,1075997.0,19.973125,1332.0,4,524.4375,3,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA
TEHRAN UNIVERSITY OF MEDICAL SCIENCES,35302.0,718476.0,19.387999999999998,437.0,22,524.8,3,TEHRAN UNIVERSITY OF MEDICAL SCIENCES
UNIVERSITY OF MANITOBA,25033.0,611157.0,22.373529411764707,503.0,173,525.0588235294117,3,UNIVERSITY OF MANITOBA
BEIJING NORMAL UNIVERSITY,42821.0,853080.0,18.588125,866.0,23,525.5625,3,BEIJING NORMAL UNIVERSITY
TRINITY COLLEGE DUBLIN,24236.0,705385.0,30.28473684210526,642.0,183,527.421052631579,3,TRINITY COLLEGE DUBLIN
UNICANCER,29377.0,1243045.0,33.025555555555556,1411.0,56,528.3333333333334,3,UNICANCER
UNIVERSITY OF SEVILLA,28663.0,500391.0,18.326842105263157,338.0,198,529.0,3,UNIVERSITY OF SEVILLA
NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS,34291.0,881608.0,22.69,928.0,132,530.5882352941177,3,NATIONAL & KAPODISTRIAN UNIVERSITY OF ATHENS
UNIVERSITY OF KANSAS,27210.0,636562.0,23.26705882352941,528.0,208,531.4117647058823,3,UNIVERSITY OF KANSAS
UNIV BOURGOGNE FRANCHE-COMTE COMUE,27535.0,675108.0,21.54736842105263,503.0,211,531.6315789473684,3,UNIV BOURGOGNE FRANCHE-COMTE COMUE
YESHIVA UNIVERSITY,19827.0,702743.0,32.68636363636364,624.0,152,531.6363636363636,3,YESHIVA UNIVERSITY
QUEENS UNIVERSITY BELFAST,22514.0,615267.0,27.98578947368421,587.0,219,532.0,3,QUEENS UNIVERSITY BELFAST
KYUSHU UNIVERSITY,38398.0,742466.0,18.468888888888888,466.0,180,533.0,3,KYUSHU UNIVERSITY
UNIVERSITY OF ABERDEEN,16592.0,540296.0,31.696875,481.0,217,534.3125,3,UNIVERSITY OF ABERDEEN
KAISER PERMANENTE,13588.0,478921.0,38.17714285714286,451.0,234,534.5714285714286,3,KAISER PERMANENTE
UNIVERSIDADE ESTADUAL PAULISTA,42388.0,576135.0,14.285333333333334,186.0,62,535.6666666666666,3,UNIVERSIDADE ESTADUAL PAULISTA
UNIVERSITY OF QUEBEC,30116.0,577597.0,21.11470588235294,366.0,133,536.7647058823529,3,UNIVERSITY OF QUEBEC
BEIHANG UNIVERSITY,56171.0,1116826.0,19.2775,985.0,20,537.6666666666666,3,BEIHANG UNIVERSITY
UNIVERSITY OF COLOGNE,32249.0,851038.0,25.11,785.0,172,537.7058823529412,3,UNIVERSITY OF COLOGNE
UNIVERSITY OF OSAKA,50425.0,968002.0,18.370588235294118,575.0,118,538.0588235294117,3,UNIVERSITY OF OSAKA
LOUISIANA STATE UNIVERSITY,21546.0,526366.0,25.179411764705883,432.0,236,538.8823529411765,3,LOUISIANA STATE UNIVERSITY
CHINA UNIVERSITY OF GEOSCIENCES,51648.0,987867.0,18.450833333333332,875.0,7,540.0,3,CHINA UNIVERSITY OF GEOSCIENCES
MEMORIAL SLOAN KETTERING CANCER CENTER,27742.0,1608675.0,49.92545454545454,1980.0,32,540.5454545454545,3,MEMORIAL SLOAN KETTERING CANCER CENTER
BROAD INSTITUTE,13259.0,1155772.0,66.27272727272727,1307.0,11,540.5454545454545,3,BROAD INSTITUTE
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,30646.0,513666.0,17.38235294117647,308.0,226,540.8235294117648,3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
UNIVERSITI MALAYA,32453.0,779523.0,20.980526315789472,575.0,80,540.9473684210526,3,UNIVERSITI MALAYA
UNIV NANTES ANGERS LE MANS,32538.0,729705.0,20.004210526315788,610.0,275,541.3157894736842,3,UNIV NANTES ANGERS LE MANS
"INSTITUTE OF CHEMISTRY, CAS",12966.0,593131.0,54.175,552.0,31,542.25,3,"INSTITUTE OF CHEMISTRY, CAS"
MINIST EDUC,40212.0,636291.0,16.33388888888889,429.0,108,542.4444444444445,3,MINIST EDUC
UNIVERSITY OF ROCHESTER,28636.0,830657.0,27.746875,740.0,148,542.9375,3,UNIVERSITY OF ROCHESTER
LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,25060.0,886616.0,34.51923076923077,857.0,39,543.0,3,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE
UNIV PARIS EST COMUE,24222.0,597057.0,22.38611111111111,530.0,179,543.5,3,UNIV PARIS EST COMUE
UNIVERSITY OF MISSOURI COLUMBIA,25146.0,508882.0,20.365,391.0,109,544.0,3,UNIVERSITY OF MISSOURI COLUMBIA
UNIVERSITY OF TASMANIA,19246.0,513445.0,28.503846153846155,446.0,82,545.6923076923077,3,UNIVERSITY OF TASMANIA
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,32209.0,837451.0,24.223157894736843,530.0,99,545.8421052631579,3,UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES
BEIJING JIAOTONG UNIVERSITY,24344.0,378578.0,15.05625,311.0,57,546.375,3,BEIJING JIAOTONG UNIVERSITY
LEIPZIG UNIVERSITY,26523.0,644675.0,24.103125,650.0,174,546.9375,3,LEIPZIG UNIVERSITY
TUFTS UNIVERSITY,21792.0,653320.0,28.131176470588237,537.0,240,547.9411764705883,3,TUFTS UNIVERSITY
UNIVERSIDADE FEDERAL DE MINAS GERAIS,28748.0,546373.0,17.86764705882353,269.0,213,549.6470588235294,3,UNIVERSIDADE FEDERAL DE MINAS GERAIS
"UNIVERSITY AT BUFFALO, SUNY",25401.0,634488.0,24.93235294117647,505.0,221,549.8235294117648,3,"UNIVERSITY AT BUFFALO, SUNY"
UNIVERSITY OF NEBRASKA LINCOLN,20625.0,533355.0,35.28888888888889,382.0,90,551.7222222222222,3,UNIVERSITY OF NEBRASKA LINCOLN
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD),41950.0,983288.0,23.637999999999998,692.0,11,552.0666666666667,3,INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT (IRD)
UNIVERSITY OF CALIFORNIA RIVERSIDE,20112.0,588370.0,28.561764705882354,455.0,126,553.1764705882352,3,UNIVERSITY OF CALIFORNIA RIVERSIDE
IOWA STATE UNIVERSITY,27553.0,628066.0,22.950000000000003,436.0,76,553.9444444444445,3,IOWA STATE UNIVERSITY
UNIVERSITY OF OKLAHOMA SYSTEM,24871.0,661978.0,25.675263157894737,589.0,152,554.0526315789474,3,UNIVERSITY OF OKLAHOMA SYSTEM
YANGZHOU UNIVERSITY,30893.0,549435.0,17.013571428571428,542.0,61,554.5,3,YANGZHOU UNIVERSITY
CALIFORNIA INSTITUTE OF TECHNOLOGY,37203.0,1507816.0,43.51777777777778,1492.0,6,554.8888888888889,3,CALIFORNIA INSTITUTE OF TECHNOLOGY
FRIEDRICH SCHILLER UNIVERSITY OF JENA,23160.0,638577.0,25.95235294117647,483.0,222,555.2352941176471,3,FRIEDRICH SCHILLER UNIVERSITY OF JENA
UNIVERSITY OF DUISBURG ESSEN,27364.0,756338.0,23.712777777777777,697.0,235,555.2777777777778,3,UNIVERSITY OF DUISBURG ESSEN
CHONGQING UNIVERSITY,60302.0,1200502.0,17.708125,1169.0,17,557.25,3,CHONGQING UNIVERSITY
LA TROBE UNIVERSITY,21840.0,546381.0,25.6,428.0,179,558.6875,3,LA TROBE UNIVERSITY
ARISTOTLE UNIVERSITY OF THESSALONIKI,26529.0,568992.0,19.604705882352942,433.0,252,559.0588235294117,3,ARISTOTLE UNIVERSITY OF THESSALONIKI
MAASTRICHT UNIVERSITY,39382.0,1031285.0,28.53058823529412,880.0,79,559.9411764705883,3,MAASTRICHT UNIVERSITY
UNIVERSITY OF CAPE TOWN,27201.0,784717.0,26.25375,719.0,90,560.3125,3,UNIVERSITY OF CAPE TOWN
UNIVERSITY OF SOUTHERN DENMARK,32585.0,880150.0,24.931176470588237,736.0,160,562.3529411764706,3,UNIVERSITY OF SOUTHERN DENMARK
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY,24179.0,556263.0,25.32529411764706,492.0,171,564.2352941176471,3,TECHNION ISRAEL INSTITUTE OF TECHNOLOGY
NSW HEALTH,27798.0,824696.0,26.597272727272728,799.0,113,565.3636363636364,3,NSW HEALTH
NORTH CHINA ELECTRIC POWER UNIVERSITY,22109.0,421828.0,19.884285714285713,306.0,39,565.7142857142857,3,NORTH CHINA ELECTRIC POWER UNIVERSITY
UNIVERSITY OF EAST ANGLIA,14192.0,475821.0,32.394,461.0,219,567.8666666666667,3,UNIVERSITY OF EAST ANGLIA
HOSPITAL FOR SICK CHILDREN (SICKKIDS),19368.0,635206.0,31.288999999999998,473.0,172,567.9,3,HOSPITAL FOR SICK CHILDREN (SICKKIDS)
SOUTH CHINA UNIVERSITY OF TECHNOLOGY,65586.0,1605341.0,19.48611111111111,1271.0,16,567.9444444444445,3,SOUTH CHINA UNIVERSITY OF TECHNOLOGY
UNIVERSIDADE DE COIMBRA,25422.0,549730.0,22.352777777777778,413.0,135,568.0,3,UNIVERSIDADE DE COIMBRA
NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,24933.0,476059.0,18.589000000000002,465.0,25,569.1,3,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY
UNIVERSITY OF GENOA,31134.0,748053.0,21.984117647058824,616.0,134,569.4117647058823,3,UNIVERSITY OF GENOA
UNIVERSITY OF BERGEN,26982.0,771552.0,25.285,615.0,134,569.6111111111111,3,UNIVERSITY OF BERGEN
UNIVERSITY OF SASKATCHEWAN,22341.0,484197.0,22.100588235294115,375.0,158,569.9411764705883,3,UNIVERSITY OF SASKATCHEWAN
FLORIDA STATE UNIVERSITY,24581.0,566675.0,24.240625,446.0,76,572.0625,3,FLORIDA STATE UNIVERSITY
PASTEUR NETWORK,21365.0,661613.0,30.935000000000002,457.0,10,572.4166666666666,3,PASTEUR NETWORK
UNIVERSITE DE STRASBOURG,30208.0,795977.0,24.566666666666666,512.0,125,573.3333333333334,3,UNIVERSITE DE STRASBOURG
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,30085.0,580894.0,17.62777777777778,312.0,161,573.3888888888889,3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
NAGOYA UNIVERSITY,39291.0,763893.0,18.88823529411765,518.0,145,573.8823529411765,3,NAGOYA UNIVERSITY
CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS (CHUV),15234.0,507734.0,36.849000000000004,558.0,217,573.9,3,CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS (CHUV)
UNIVERSITY OF CALIFORNIA SANTA BARBARA,25725.0,898548.0,34.1125,841.0,76,575.2,3,UNIVERSITY OF CALIFORNIA SANTA BARBARA
UNIVERSITY OF WOLLONGONG,23353.0,647253.0,24.606875,574.0,85,576.75,3,UNIVERSITY OF WOLLONGONG
AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR),23165.0,899977.0,35.61588235294118,792.0,77,581.1764705882352,3,AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR)
UNIVERSITY OF LIEGE,20959.0,586339.0,25.915555555555557,425.0,199,582.0,3,UNIVERSITY OF LIEGE
ICREA,15166.0,692916.0,41.93,673.0,143,583.5333333333333,3,ICREA
UNIVERSITE LIBRE DE BRUXELLES,22701.0,669450.0,29.42823529411765,615.0,173,585.2941176470588,3,UNIVERSITE LIBRE DE BRUXELLES
BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,25726.0,739939.0,25.156,706.0,37,586.9,3,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY
MEDICAL UNIVERSITY OF VIENNA,30491.0,931401.0,27.249166666666667,961.0,128,587.1666666666666,3,MEDICAL UNIVERSITY OF VIENNA
UNIVERSITY OF WURZBURG,27329.0,838903.0,29.161176470588234,732.0,105,587.4117647058823,3,UNIVERSITY OF WURZBURG
UNIVERSITY OF MARYLAND BALTIMORE,28333.0,764568.0,31.663333333333334,590.0,140,589.0666666666667,3,UNIVERSITY OF MARYLAND BALTIMORE
LANCASTER UNIVERSITY,17453.0,504708.0,30.02,460.0,92,589.8666666666667,3,LANCASTER UNIVERSITY
UNIVERSITY OF YORK - UK,23249.0,665493.0,27.256842105263157,490.0,140,590.3684210526316,3,UNIVERSITY OF YORK - UK
UNIVERSITY OF MIAMI,34217.0,856344.0,24.955,776.0,152,595.4444444444445,3,UNIVERSITY OF MIAMI
THOMAS JEFFERSON UNIVERSITY,18433.0,489987.0,27.17,360.0,247,595.75,3,THOMAS JEFFERSON UNIVERSITY
CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM,27296.0,606059.0,24.478947368421053,472.0,109,596.1052631578947,3,CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM
CHINA AGRICULTURAL UNIVERSITY,38280.0,835977.0,22.308,812.0,4,596.5333333333333,3,CHINA AGRICULTURAL UNIVERSITY
PEKING UNION MEDICAL COLLEGE,48462.0,916232.0,20.658666666666665,728.0,23,598.6,3,PEKING UNION MEDICAL COLLEGE
CITY UNIVERSITY OF HONG KONG,39671.0,1100801.0,23.71764705882353,1333.0,26,598.7647058823529,3,CITY UNIVERSITY OF HONG KONG
JIANGNAN UNIVERSITY,33745.0,637099.0,16.764545454545456,501.0,6,599.2727272727273,3,JIANGNAN UNIVERSITY
NATIONAL YANG MING CHIAO TUNG UNIVERSITY,35453.0,591998.0,16.38533333333333,328.0,283,599.4,3,NATIONAL YANG MING CHIAO TUNG UNIVERSITY
POLYTECHNIC UNIVERSITY OF MILAN,26046.0,498573.0,19.154166666666665,333.0,70,599.5833333333334,3,POLYTECHNIC UNIVERSITY OF MILAN
NANJING TECH UNIVERSITY,27376.0,657830.0,21.2175,513.0,56,599.625,3,NANJING TECH UNIVERSITY
NEWYORK-PRESBYTERIAN HOSPITAL,19205.0,532061.0,25.634999999999998,694.0,197,601.625,3,NEWYORK-PRESBYTERIAN HOSPITAL
